reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='10' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='10' scan='17'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='10' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='10' scan='17'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='11' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='11' scan='17'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='11' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='11' scan='17'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='10,11' scan='1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='10,11' scan='1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17'
antenna='0&26' scan='17' timerange='2016/06/19/01:47:54~2016/06/19/01:50:21' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='0&26' scan='17' timerange='2016/06/19/01:49:14~2016/06/19/01:51:41' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='0&26' scan='17' timerange='2016/06/19/01:51:55~2016/06/19/01:54:22' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='12&26' scan='17' timerange='2016/06/19/01:46:33~2016/06/19/01:49:00' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='12&26' scan='17' timerange='2016/06/19/01:47:54~2016/06/19/01:50:21' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='12&26' scan='17' timerange='2016/06/19/01:49:14~2016/06/19/01:51:41' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='12&26' scan='17' timerange='2016/06/19/01:50:35~2016/06/19/01:53:02' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='0&19' scan='17' timerange='2016/06/19/02:28:10~2016/06/19/02:30:20' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&6' scan='17' timerange='2016/06/19/02:26:49~2016/06/19/02:29:16' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='18&23' scan='17' timerange='2016/06/19/01:45:13~2016/06/19/01:47:40' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='18&23' scan='17' timerange='2016/06/19/01:46:33~2016/06/19/01:49:00' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='18&23' scan='17' timerange='2016/06/19/02:01:19~2016/06/19/02:03:46' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&8' scan='17' timerange='2016/06/19/02:26:49~2016/06/19/02:29:16' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='6&8' scan='17' timerange='2016/06/19/02:28:10~2016/06/19/02:30:20' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='24&26' scan='17' timerange='2016/06/19/01:53:16~2016/06/19/01:55:43' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='6&23' scan='2' timerange='2016/06/18/18:58:31~2016/06/18/19:00:10' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='13&25' scan='2' timerange='2016/06/18/18:58:31~2016/06/18/19:00:10' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='5&8' scan='2' timerange='2016/06/18/18:58:31~2016/06/18/19:00:10' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='23&25' scan='2' timerange='2016/06/18/18:58:31~2016/06/18/19:00:10' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
antenna='13&23' scan='2' timerange='2016/06/18/18:54:30~2016/06/18/18:56:57' reason='BAD_BASELINE_TIME' mode='manual' correlation='RR'
