reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='7'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='7'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='18' scan='1'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='18' scan='1'
reason='BAD_ANTENNA' correlation='RR' mode='manual' antenna='1' scan='1,2,3,4,5,6,7'
reason='BAD_ANTENNA' correlation='LL' mode='manual' antenna='1' scan='1,2,3,4,5,6,7'
antenna='22&23' scan='4' timerange='2016/05/14/06:17:45~2016/05/14/06:19:24' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&8' scan='4' timerange='2016/05/14/06:13:44~2016/05/14/06:16:11' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&8' scan='4' timerange='2016/05/14/06:15:04~2016/05/14/06:17:31' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&8' scan='4' timerange='2016/05/14/06:16:25~2016/05/14/06:18:52' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&8' scan='4' timerange='2016/05/14/06:17:45~2016/05/14/06:19:24' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='7&11' scan='4' timerange='2016/05/14/06:16:25~2016/05/14/06:18:52' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='7&23' scan='4' timerange='2016/05/14/06:13:44~2016/05/14/06:16:11' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='7&23' scan='4' timerange='2016/05/14/06:15:04~2016/05/14/06:17:31' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='7&23' scan='4' timerange='2016/05/14/06:16:25~2016/05/14/06:18:52' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='7&23' scan='4' timerange='2016/05/14/06:17:45~2016/05/14/06:19:24' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
antenna='2&6' scan='4' timerange='2016/05/14/06:13:44~2016/05/14/06:16:11' reason='BAD_BASELINE_TIME' mode='manual' correlation='LL'
